time,state,smoothing,residuals,variance,ac1,pseudotime_index,pseudotime
0,7.5509586,6.787381631764038,0.7635769682359621,,,0,0.8032672
1,6.996156,6.777216367422506,0.21893963257749416,,,1,0.8038956
2,6.0923986,6.767103574945541,-0.6747049749455405,,,2,0.80414575
3,7.361065,6.757041846333063,0.6040231536669367,,,3,0.8042416
4,1.1647054,6.747030664567259,-5.582325264567259,,,4,0.80481243
5,10.754751,6.737069216087165,4.017681783912836,,,5,0.8061989
6,3.6061552,6.727157718759665,-3.1210025187596653,,,6,0.80661285
7,6.8324866,6.717293968419882,0.11519263158011839,,,7,0.806724
8,8.821711,6.707478708003822,2.1142322919961787,,,8,0.80687946
9,6.5863795,6.6977126748963185,-0.11133317489631889,,,9,0.808055
10,7.3378105,6.6879933053504255,0.6498171946495743,,,10,0.8080701
11,4.2149177,6.678317011724996,-2.463399311724996,,,11,0.8094284
12,8.017524,6.668679830883556,1.3488441691164441,,,12,0.8097184
13,6.315704,6.6590802724406775,-0.34337627244067725,,,13,0.81010264
14,5.875475,6.649515631863418,-0.7740406318634179,,,14,0.8102973
15,9.636828,6.6399834487969045,2.996844551203095,,,15,0.81074214
16,7.5291095,6.63048172776021,0.8986277722397897,,,16,0.8110076
17,3.2563658,6.621004834241494,-3.3646390342414936,,,17,0.8110315
18,7.454063,6.6115454235420135,0.8425175764579862,,,18,0.8111694
19,6.172725,6.602098698729901,-0.4293736987299015,,,19,0.8116821
20,7.542778,6.592659432905453,0.9501185670945471,,,20,0.81225145
21,7.7523994,6.583222183799274,1.1691772162007261,,,21,0.8130136
22,5.875475,6.573779523308405,-0.6983045233084049,,,22,0.8131213
23,5.898158,6.564321693005932,-0.6661636930059327,,,23,0.8133058
24,3.8536768,6.554839220927804,-2.7011624209278042,,,24,0.8138121
25,3.8536768,6.545324215287524,-2.6916474152875236,,,25,0.81455886
26,2.175871,6.535772891096378,-4.359901891096378,,,26,0.81473285
27,6.7946267,6.526186685261584,0.26844001473841583,,,27,0.8148066
28,7.361065,6.516571921306831,0.8444930786931693,,,28,0.81545573
29,8.246317,6.506936326527122,1.7393806734728772,,,29,0.8155553
30,6.7716274,6.497286867160672,0.2743405328393278,,,30,0.816286
31,5.4076505,6.487628499556359,-1.079977999556359,,,31,0.81655234
32,6.9887156,6.47796646537244,0.5107491346275603,,,32,0.81752765
33,6.0034413,6.468308853000148,-0.4648675530001478,,,33,0.81758183
34,6.5863795,6.458665209253448,0.12771429074655138,,,34,0.818517
35,10.196719,6.449047836499284,3.7476711635007156,,,35,0.8195341
36,5.4696484,6.439470578078436,-0.9698221780784362,,,36,0.8213751
37,5.0966487,6.4299458540478645,-1.3332971540478642,,,37,0.82143384
38,8.335305,6.420491254597987,1.9148137454020127,,,38,0.8221774
39,5.422401,6.411132563796887,-0.988731563796887,,,39,0.82294726
40,6.7946267,6.4019005396844415,0.39272616031555874,,,40,0.82307243
41,8.010901,6.392838121749603,1.6180628782503979,,,41,0.8232471
42,6.0923986,6.384002101431435,-0.2916035014314353,,,42,0.8232663
43,6.5560584,6.375464127427002,0.1805942725729981,,,43,0.8238628
44,4.2149177,6.367318037166233,-2.152400337166233,,,44,0.8248542
45,8.685513,6.359678992386941,2.325834007613059,,,45,0.8253117
46,6.4765124,6.352667949178635,0.12384445082136519,,,46,0.82682496
47,6.4312534,6.34678887071455,0.08446452928544979,,,47,0.8272912
48,2.9604006,6.340853357867893,-3.380452757867893,,,48,0.82880443
49,6.0034413,6.334817902307093,-0.33137660230709276,,,49,0.8288994
50,8.685513,6.32864993610583,2.3568630638941706,,,50,0.8294098
51,5.898158,6.322367618427487,-0.4242096184274873,,,51,0.8301093
52,7.7200947,6.316026278069045,1.4040684219309547,,,52,0.83044064
53,7.6321087,6.30964208202377,1.3224666179762297,,,53,0.83170235
54,7.3378105,6.303266324352839,1.0345441756471612,,,54,0.83194566
55,3.1591182,6.296893240175274,-3.137775040175274,,,55,0.8322839
56,6.3194537,6.2904560625662755,0.028997637433724854,,,56,0.8330121
57,7.0443325,6.283936741619153,0.7603957583808469,,,57,0.8335661
58,4.1077423,6.277374313682077,-2.169632013682077,,,58,0.8340201
59,4.268129,6.270819084811429,-2.0026900848114293,,,59,0.83429587
60,6.4856143,6.264248010676316,0.22136628932368385,,,60,0.8347873
61,6.8324866,6.257640238511788,0.5748463614882118,,,61,0.83482087
62,5.898158,6.25094511563622,-0.3527871156362208,,,62,0.8350667
63,6.315704,6.2441216406499995,0.07158235935000068,,,63,0.8350815
64,3.8536768,6.237151629688988,-2.383474829688988,,,64,0.83512974
65,8.246317,6.230036495118063,2.0162805048819363,,,65,0.83536685
66,3.1591182,6.222738726068884,-3.063620526068884,,,66,0.8366107
67,6.315704,6.215263853201218,0.10044014679878188,,,67,0.8369641
68,6.9887156,6.20768598770963,0.7810296122903697,,,68,0.8377076
69,7.361065,6.200162146109491,1.1609028538905086,,,69,0.83804446
70,4.5755363,6.192893909223851,-1.617357609223851,,,70,0.83866566
71,8.958056,6.186091143644358,2.771964856355641,,,71,0.8388823
72,5.955517,6.179971056307757,-0.2244540563077564,,,72,0.83891964
73,7.5509586,6.174646714766425,1.3763118852335756,,,73,0.8390563
74,6.0034413,6.170146285232504,-0.16670498523250377,,,74,0.8393023
75,5.2230897,6.166416392339077,-0.9433266923390766,,,75,0.8394221
76,6.74141,6.163353360264372,0.5780566397356282,,,76,0.8395644
77,8.335305,6.160890675306252,2.174414324693748,,,77,0.83996665
78,5.2270846,6.159046194002932,-0.9319615940029315,,,78,0.8400733
79,4.755782,6.157870745685879,-1.4020887456858793,,,79,0.8409384
80,9.503903,6.157374974095771,3.3465280259042283,,,80,0.84120196
81,8.958056,6.157592117770869,2.8004638822291303,,,81,0.8412794
82,6.4856143,6.158540448545696,0.3270738514543039,,,82,0.8426309
83,3.8536768,6.160177043287569,-2.306500243287569,,,83,0.8429614
84,6.315704,6.162431124768261,0.15327287523173894,,,84,0.8435399
85,4.2149177,6.165249093030102,-1.950331393030102,,,85,0.84473586
86,2.5596972,6.168537350116467,-3.608840150116467,,,86,0.8448597
87,5.513976,6.172228850850364,-0.6582528508503636,,,87,0.84507793
88,4.693805,6.176235897853186,-1.4824308978531855,,,88,0.8460572
89,7.392673,6.180467514964402,1.2122054850355983,,,89,0.8460844
90,5.2270846,6.184882901029342,-0.9577983010293414,,,90,0.8464141
91,5.422401,6.189422828285091,-0.7670218282850909,,,91,0.846564
92,8.958056,6.194053412017146,2.764002587982853,,,92,0.846635
93,4.490074,6.198688035440982,-1.7086140354409824,,,93,0.84686327
94,5.669127,6.203289242584797,-0.5341622425847978,,,94,0.84687304
95,4.371417,6.207802813842357,-1.836385813842357,,,95,0.84759885
96,8.685513,6.212131358668585,2.4733816413314154,,,96,0.84857726
97,10.196719,6.216106930404693,3.980612069595307,,,97,0.84973085
98,4.371417,6.219547907046139,-1.848130907046139,,,98,0.85021293
99,8.017524,6.222267447643804,1.7952565523561956,,,99,0.8502942
100,6.3194537,6.224086913487865,0.0953667865121357,,,100,0.8503323
101,2.5833673,6.224900908232234,-3.6415336082322343,,,101,0.8506603
102,6.4765124,6.2246590804012145,0.2518533195987853,,,102,0.851231
103,8.7597275,6.223407721990886,2.5363197780091147,,,103,0.85132843
104,7.3378105,6.221238203000794,1.1165722969992053,,,104,0.8513349
105,2.5691228,6.218234695264246,-3.649111895264246,,,105,0.85165966
